phone_full_name,phone_review_rating,phone_rate_number,phone_sale_price,phone_list_price,phone_discount,phone_brand,phone_dim,phone_weight,phone_ASIN,phone_model_numer,phone_batteries,phone_os,phone_ram,phone_wire_com_tech,phone_conn_tech,phone_is_GPS,phone_special_features,phone_display_tech,phone_other_display_features,phone_human_int_input,phone_scanner_res,phone_other_cam_features,phone_from_factor,phone_color,phone_batt_power_rating,phone_set,phone_manufacturer,phone_date,phone_mem_storage_cap,phone_standing_screen_display_size,phone_ram_memory_installed_size,phone_cust_rev_5_perc,phone_cust_rev_4_perc,phone_cust_rev_3_perc,phone_cust_rev_2_perc,phone_cust_rev_1_perc,phone_cust_say
Xiaomi Redmi Note 13 Pro 5G + 4G Lte (for Tmobile Mint Tello & Global) (256Gb + 8Gb) 6.67 200Mp Triple Global Bands Unlocked (Midnight Black),4.6,417 ratings,$299.99,Sorry bro,0%,Xiaomi,7.87 x 5.91 x 5.51 inches,1.1 pounds,B0CLLV68VK,MZB0FFWEU,1 Lithium Polymer batteries required. (included),MIUI 14,8 GB,Cellular,Sorry bro,True,Sorry bro,Sorry bro,Wireless,Touchscreen,2712 x 1220,Front,Smartphone,Midnight Black Global ROM,5000 Milliamp Hours,"Wall Adapter, SIM Tray Ejector, Fast Car charger, USB Cable",Xiaomi,"January 20, 2024",256 GB,6.67 Inches,8 GB,5%,14%,3%,2%,Sorry bro,"{'Phone quality': {'pos_rev': '18', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Speed': {'pos_rev': '18', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '18', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '18', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Camera quality': {'pos_rev': '18', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Build quality': {'pos_rev': '18', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Battery life': {'pos_rev': '18', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Display quality': {'pos_rev': '18', 'neg_rev': '0', 'tone': 'POSITIVE'}}"
"Motorola Moto Edge 50 Fusion 5G (XT2429-1) Dual Sim | GSM Unlocked | 6.7"" P-OLED 120Hz Display | 8GB Ram 256GB Storage - International Version - (Blue)",4.1,19 ratings,$269.70,$269.70,7%,Motorola,Sorry bro,16 ounces,B0DK4C89FS,XT2429-1,1 A batteries required. (included),Android 14,Sorry bro,Sorry bro,"Bluetooth, Wi-Fi, USB",True,"Dual SIM, Water Resistant",Sorry bro,Wireless,Touchscreen,6.7 Inches,"Rear, Front",Bar,Blue,5000 Milliamp Hours,"Power Adapter, SIM Tray Ejector, USB Cable",Motorola,"October 30, 2024",256 GB,6.7 Inches,8 GB,Sorry bro,Sorry bro,Sorry bro,22%,61%,{}
Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Yellow,4.4,432 ratings,$149.70,$5.30,0%,SAMSUNG,7.87 x 5.91 x 5.51 inches,7.1 ounces,B0CSB1GX4H,SM-A155M/DSN,1 Lithium Ion batteries required.,Android 14,6 GB,Cellular,Wireless,True,Sorry bro,Sorry bro,Wireless,Buttons,1080 x 2340,Front,Slate,Yellow,Sorry bro,"SIM Tray Ejector, Adapter",Samsung,"January 25, 2024",128 GB,6.5 Inches,6 GB,Sorry bro,74%,3%,Sorry bro,Sorry bro,"{'Phone quality': {'pos_rev': '26', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '26', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '26', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Color': {'pos_rev': '26', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Ease of use': {'pos_rev': '26', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Battery life': {'pos_rev': '26', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Compatibility': {'pos_rev': '26', 'neg_rev': '0', 'tone': 'NEGATIVE'}, 'Unlockability': {'pos_rev': '26', 'neg_rev': '0', 'tone': 'NEGATIVE'}}"
"SAMSUNG Galaxy A15 5G A Series Cell Phone, AMOLED Display, Expandable Storage, Knox Security, US Version, 2024, Blue Black, 64GB, for T-Mobile only (64 GB)",4.2,16 ratings,$149.98,$149.98,21%,SAMSUNG,Sorry bro,9.6 ounces,B0DRPR5QGR,SM-A156U,1 P76 batteries required. (included),Android,Sorry bro,Sorry bro,"2G, 5G",False,"Knox Security, AMOLED Display",Sorry bro,Wireless,Touchscreen,1920 x 1080,Sorry bro,Slate,Blue,5000.0,USB Cable,Samsung Electornics,"December 27, 2024",64 GB,6.5 Inches,4 GB,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,"{'Functionality': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Phone quality': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'POSITIVE'}}"
"SAMSUNG Galaxy A13 LTE Cell Phone, Factory Unlocked Android Smartphone, 32GB, Multi Lens Camera, Infinity-V HD+ Display Screen, Long Battery Life, Expandable Storage, US Version, Black",4.2,"1,589 ratings",$136.44,$136.44,29%,SAMSUNG,0.35 x 3.01 x 6.5 inches,6.9 ounces,B09V87YTC9,SM-A135UZKDXAA,1 Lithium Ion batteries required. (included),Android 12.0,3 GB,Cellular,"Bluetooth, Wi-Fi, USB, NFC",True,Sorry bro,Sorry bro,Wireless,Touchscreen,Sorry bro,"Rear, Front",smartphone,Black,5000 Milliampere Hour (mAh),USB Cable,Samsung,"April 8, 2022",32 GB,6.6 Inches,3 GB,Sorry bro,Sorry bro,63%,Sorry bro,Sorry bro,"{'Phone quality': {'pos_rev': '50', 'neg_rev': '18', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '50', 'neg_rev': '18', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '50', 'neg_rev': '18', 'tone': 'MIXED'}, 'Phone speed': {'pos_rev': '50', 'neg_rev': '18', 'tone': 'MIXED'}, 'Battery life': {'pos_rev': '50', 'neg_rev': '18', 'tone': 'MIXED'}, 'Charger quality': {'pos_rev': '50', 'neg_rev': '18', 'tone': 'NEGATIVE'}, 'Connectivity': {'pos_rev': '50', 'neg_rev': '18', 'tone': 'NEGATIVE'}}"
Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Gray,4.2,"10,826 ratings",$103.78,$103.78,13%,Motorola,6 x 4 x 2 inches,12 ounces,B08NWBY8YJ,XT2117,Sorry bro,Sorry bro,4 GB,Bluetooth® 5.0,"LTE, GSM, CDMA, UMTS, Wi-Fi",Sorry bro,"3-Day battery, 48 MP triple camera system, water-repellent design",Sorry bro,Wireless,"Touchscreen, Keyboard, Numeric Keypad",1600 x 720,Rear,Bar,Gray,5000,"Moto G Power (2021), 10W rapid Charger, USB Cable, Guides, SIM tool",Motorola,"January 8, 2021",64 GB,6.6 Inches,Sorry bro,Sorry bro,4%,63%,Sorry bro,Sorry bro,"{'Phone quality': {'pos_rev': '521', 'neg_rev': '177', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '521', 'neg_rev': '177', 'tone': 'POSITIVE'}, 'Works well': {'pos_rev': '521', 'neg_rev': '177', 'tone': 'POSITIVE'}, 'Battery life': {'pos_rev': '521', 'neg_rev': '177', 'tone': 'MIXED'}, 'Speed': {'pos_rev': '521', 'neg_rev': '177', 'tone': 'MIXED'}, 'Build quality': {'pos_rev': '521', 'neg_rev': '177', 'tone': 'MIXED'}, 'Screen size': {'pos_rev': '521', 'neg_rev': '177', 'tone': 'MIXED'}, 'Wifi functionality': {'pos_rev': '521', 'neg_rev': '177', 'tone': 'NEGATIVE'}}"
"SAMSUNG Galaxy A04e (SM-A042M/DS) Dual SIM 32GB, 6.5"" GSM Unlocked, International Version (32GB SD Card Bundle) - Copper",3.8,288 ratings,$84.99,$92.00,8%,SAMSUNG,Sorry bro,12.6 ounces,B0BM6P44R1,SM-A042M/DS,1 Lithium Ion batteries required. (included),Android,3,Cellular,Wi-Fi,False,Sorry bro,Sorry bro,Wireless,Touchscreen,1920 x 1080,"Rear, Front",Smart Phone,COPPER,5000,"Power Adapter, Phone, SIM Tray Ejector, USB Cable",SAMSUNG,"November 12, 2022",3 GB,6.5 Inches,Sorry bro,5%,Sorry bro,53%,Sorry bro,Sorry bro,"{'Looks': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'MIXED'}, 'Phone quality': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'MIXED'}, 'Slackness': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'NEGATIVE'}, 'Phone compatibility': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'NEGATIVE'}, 'Compatibility': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'NEGATIVE'}, 'Phone unlockability': {'pos_rev': '10', 'neg_rev': '0', 'tone': 'NEGATIVE'}}"
"SAMSUNG Galaxy A06 4G LTE (128GB + 4GB) Latin Version SM-A065M/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) - (Light Blue)",Sorry bro,Sorry bro,$107.50,$259.99,0%,SAMSUNG,3.04 x 0.31 x 6.59 inches,10.5 ounces,B0DNLGTFXG,SM-A065/DS,1 Lithium Ion batteries required. (included),Android,4 GB,Sorry bro,Sorry bro,True,Sorry bro,Sorry bro,Wireless,Sorry bro,720 x 1600,Sorry bro,Bar,Light Blue,Sorry bro,Sorry bro,Samsung,"November 19, 2024",128 GB,6.7 Inches,4 GB,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
Nokia 110 4G | Dual SIM | GSM Unlocked Mobile Phone | Volte | Blue | International Version | Not AT&T/Cricket/Verizon Compatible,3.5,148 ratings,$37.25,Sorry bro,0%,Nokia,4.78 x 1.97 x 0.57 inches,3.28 ounces,B0CWWC2G6F,TA-1563,1 Lithium Polymer batteries required. (included),Series 30+,Sorry bro,Cellular,"Bluetooth, USB",False,"Basic Phone, Dual SIM, Expandable Memory",Sorry bro,Wireless,Buttons,160 x 120,"Rear, Front",Bar,Blue,1450,"Power Adapter, USB Cable",HMD Global Oy,"June 28, 2023",128 MB,1.8 Inches,512 MB,45%,Sorry bro,13%,Sorry bro,21%,"{'Value for money': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Quality': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Battery life': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Design': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'MIXED'}, 'Call quality': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'MIXED'}, 'Ease of use': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'MIXED'}, 'Signal strength': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'NEGATIVE'}}"
"SAMSUNG Galaxy A36 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Rugged Design, US Version, 2025, US 1 Yr Manufacturer Warranty, Awesome Black",3.0,1 rating,$399.99,"$1,099.99",0%,SAMSUNG,0.32 x 3.07 x 6.37 inches,7.4 ounces,B0DXHPNPYX,A36,1 Lithium Ion batteries required. (included),"ONE UI 6.0, Android 14",Sorry bro,Sorry bro,"Bluetooth, Wi-Fi, USB, NFC",True,"Expandable Memory, Mobile Hotspot Capability, Built-In GPS, Water Resistant",Sorry bro,Wireless,"Touchscreen, Microphone, Buttons",Sorry bro,"Rear, Front",Bar,Black,19.03 Watt Hours,"USB-C Cable, SIM Tray Ejector, Quick Start Guide",Samsung,"March 26, 2025",128 GB,6.6 Inches,6 GB,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
"SAMSUNG Galaxy A15 5G (128GB, 4GB) 6.5"" 90Hz AMOLED, Octa-Core, 50MP Triple Camera, 4G Volte (Fully Unlocked for AT&T, T-Mobile, Verizon, Global) A156U (w/ 128GB SD Card, Blue Black)",4.3,323 ratings,$175.00,$192.26,9%,SAMSUNG,6.45 x 3.22 x 1.1 inches,3.2 ounces,B0CQKGGFCD,SM-A156WZKAXAC,1 CR5 batteries required. (included),Android 13.0,Sorry bro,"Bluetooth, Cellular",Bluetooth,True,Super Fast Charging,Sorry bro,Wireless,Touchscreen,1080 x 2340,"Rear camera: 50MP, triple lens",Bar,Blue Black,5000 Milliamp Hours,USB Cable,SAMSUNG,"January 26, 2024",4 GB,6.5 Inches,4 GB,5%,64%,3%,Sorry bro,21%,{}
"Tracfone | Motorola Moto g 5G 2024 | Locked |128GB | 5000mAh Battery | 50MP Camera | 6.6"" Display | Gray",3.9,42 ratings,$99.99,Sorry bro,0%,Tracfone,Sorry bro,13.4 ounces,B0DFHP551H,XT2417D,1 Lithium Polymer batteries required. (included),Android 14,Sorry bro,Cellular,"Bluetooth, Wi-Fi, GSM/UMTS/LTE",True,"Battery life of more than a day., Capture every moment at its best with a 50MP camera., 5G speed. Powerful performance., Save everything with up to 128GB., Premium design within reach.",Sorry bro,Wireless,Sorry bro,1600 x 720 pixels,50MP + 2MP,Bar,GRAY,3,"moto g 5G 2024, USB Cable, Quick Start Guide",MOTOROLA INC,"August 28, 2024",4 GB,6.56 Inches,4 GB,Sorry bro,14%,53%,Sorry bro,Sorry bro,"{'Functionality': {'pos_rev': '8', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '8', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Memory capacity': {'pos_rev': '8', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Phone quality': {'pos_rev': '8', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Junkware': {'pos_rev': '8', 'neg_rev': '0', 'tone': 'NEGATIVE'}}"
"SAMSUNG Galaxy A16 4G (SM-A165M/DS), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (25W Power Adapter Bundle) - (Light Green)",3.5,7 ratings,$155.00,Sorry bro,0%,SAMSUNG,3.07 x 0.31 x 6.47 inches,9.6 ounces,B0DNGHX7WG,F-S721BLBJL300,1 A batteries required. (included),Android,6 GB,Sorry bro,Sorry bro,True,Sorry bro,Sorry bro,Wireless,Touchscreen,1080 x 2340,Sorry bro,Bar,Light Green,5000 Milliamp Hours,Phone Case,Samsung,"November 18, 2024",128 GB,6.7 Inches,6 GB,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
